paper_id,title,year,venue,topic,category,matched_keyword,period
neurips_2012_0012,Adaptive Stratified Sampling for Monte-Carlo integration of Differentiable functions.,2012,NeurIPS,Probabilistic Modeling,Core ML,sampling,2010-2014
neurips_2012_0013,Algorithms for Learning Markov Field Policies.,2012,NeurIPS,Probabilistic Modeling,Core ML,markov,2010-2014
neurips_2012_0013,Algorithms for Learning Markov Field Policies.,2012,NeurIPS,Reinforcement Learning & Bandits,Decision Making,policy,2010-2014
neurips_2012_0014,Approximate Message Passing with Consistent Parameter Estimation and Applications to Sparse Learning.,2012,NeurIPS,Classical Statistical ML,Core ML,sparse,2010-2014
neurips_2012_0014,Approximate Message Passing with Consistent Parameter Estimation and Applications to Sparse Learning.,2012,NeurIPS,Probabilistic Modeling,Core ML,estimation,2010-2014
neurips_2012_0014,Approximate Message Passing with Consistent Parameter Estimation and Applications to Sparse Learning.,2012,NeurIPS,Graph Machine Learning,Structured Learning,message passing,2010-2014
neurips_2012_0016,Bayesian Probabilistic Co-Subspace Addition.,2012,NeurIPS,Probabilistic Modeling,Core ML,bayesian,2010-2014
neurips_2012_0017,Bayesian active learning with localized priors for fast receptive field characterization.,2012,NeurIPS,Probabilistic Modeling,Core ML,bayesian,2010-2014
neurips_2012_0018,Best Arm Identification: A Unified Approach to Fixed Budget and Fixed Confidence.,2012,NeurIPS,Reinforcement Learning & Bandits,Decision Making,best arm,2010-2014
neurips_2012_0019,Calibrated Elastic Regularization in Matrix Completion.,2012,NeurIPS,Classical Statistical ML,Core ML,matrix completion,2010-2014
neurips_2012_0019,Calibrated Elastic Regularization in Matrix Completion.,2012,NeurIPS,Optimization & Learning Theory,Core ML,regularization,2010-2014
neurips_2012_0020,Communication/Computation Tradeoffs in Consensus-Based Distributed Optimization.,2012,NeurIPS,Optimization & Learning Theory,Core ML,optimization,2010-2014
neurips_2012_0020,Communication/Computation Tradeoffs in Consensus-Based Distributed Optimization.,2012,NeurIPS,Language Models & NLP,Generative AI,communication,2010-2014
neurips_2012_0020,Communication/Computation Tradeoffs in Consensus-Based Distributed Optimization.,2012,NeurIPS,Federated & Distributed Learning,Systems for ML,distributed,2010-2014
neurips_2012_0021,Controlled Recognition Bounds for Visual Learning and Exploration.,2012,NeurIPS,Optimization & Learning Theory,Core ML,bounds,2010-2014
neurips_2012_0021,Controlled Recognition Bounds for Visual Learning and Exploration.,2012,NeurIPS,Computer Vision & 3D Perception,Perception,visual,2010-2014
neurips_2012_0023,Convolutional-Recursive Deep Learning for 3D Object Classification.,2012,NeurIPS,Classical Statistical ML,Core ML,classification,2010-2014
neurips_2012_0024,Cost-Sensitive Exploration in Bayesian Reinforcement Learning.,2012,NeurIPS,Probabilistic Modeling,Core ML,bayesian,2010-2014
neurips_2012_0024,Cost-Sensitive Exploration in Bayesian Reinforcement Learning.,2012,NeurIPS,Reinforcement Learning & Bandits,Decision Making,reinforcement learning,2010-2014
neurips_2012_0026,Density Propagation and Improved Bounds on the Partition Function.,2012,NeurIPS,Optimization & Learning Theory,Core ML,bounds,2010-2014
neurips_2012_0027,Distributed Probabilistic Learning for Camera Networks with Missing Data.,2012,NeurIPS,Probabilistic Modeling,Core ML,probabilistic,2010-2014
neurips_2012_0027,Distributed Probabilistic Learning for Camera Networks with Missing Data.,2012,NeurIPS,Federated & Distributed Learning,Systems for ML,distributed,2010-2014
neurips_2012_0028,Ensemble weighted kernel estimators for multivariate entropy estimation.,2012,NeurIPS,Classical Statistical ML,Core ML,kernel,2010-2014
neurips_2012_0028,Ensemble weighted kernel estimators for multivariate entropy estimation.,2012,NeurIPS,Probabilistic Modeling,Core ML,estimation,2010-2014
neurips_2012_0030,Fast Bayesian Inference for Non-Conjugate Gaussian Process Regression.,2012,NeurIPS,Classical Statistical ML,Core ML,regression,2010-2014
neurips_2012_0030,Fast Bayesian Inference for Non-Conjugate Gaussian Process Regression.,2012,NeurIPS,Probabilistic Modeling,Core ML,bayesian,2010-2014
neurips_2012_0031,Feature-aware Label Space Dimension Reduction for Multi-label Classification.,2012,NeurIPS,Classical Statistical ML,Core ML,classification,2010-2014
neurips_2012_0032,Fully Bayesian inference for neural models with negative-binomial spiking.,2012,NeurIPS,Probabilistic Modeling,Core ML,bayesian,2010-2014
neurips_2012_0033,Fused sparsity and robust estimation for linear models with unknown variance.,2012,NeurIPS,Probabilistic Modeling,Core ML,estimation,2010-2014
neurips_2012_0033,Fused sparsity and robust estimation for linear models with unknown variance.,2012,NeurIPS,"Robustness, Privacy & Safety",Trustworthy AI,robust,2010-2014
neurips_2012_0034,Gradient-based kernel method for feature extraction and variable selection.,2012,NeurIPS,Classical Statistical ML,Core ML,kernel,2010-2014
