topic,category,year,share,prev_avg_share,burst_score
Classical Statistical ML,Core ML,2023,0.08685162846803378,0.11191192194600375,-0.025060293477969967
Computer Vision & 3D Perception,Perception,2023,0.09891435464414958,0.08056358652579056,0.01835076811835902
Federated & Distributed Learning,Systems for ML,2023,0.013268998793727383,0.023872264194300236,-0.010603265400572853
Games & Mechanism Design,Decision Making,2023,0.010856453558504222,0.012835483523028367,-0.001979029964524145
Generative Models & Diffusion,Generative AI,2023,0.06272617611580217,0.03912946627461463,0.023596709841187537
Graph Machine Learning,Structured Learning,2023,0.05548854041013269,0.05056052655027036,0.004928013859862329
Language Models & NLP,Generative AI,2023,0.08443908323281062,0.054916771010659504,0.029522312222151112
Multimodal & Vision-Language,Perception,2023,0.026537997587454766,0.007398809775039042,0.019139187812415723
Optimization & Learning Theory,Core ML,2023,0.13630880579010857,0.15703712301336073,-0.020728317223252163
Probabilistic Modeling,Core ML,2023,0.0735826296743064,0.10574349198309863,-0.032160862308792226
Reinforcement Learning & Bandits,Decision Making,2023,0.1037394451145959,0.1142036208537918,-0.010464175739195905
Representation Learning,Foundation Learning,2023,0.10494571773220748,0.11671285940057308,-0.011767141668365594
"Robustness, Privacy & Safety",Trustworthy AI,2023,0.07720144752714113,0.07597573357344176,0.0012257139536993727
"Biology, Molecules & Health",AI for Science,2024,0.01811248808388942,0.01602318020023287,0.0020893078836565493
"Causality, Dynamics & Scientific ML",Scientific ML,2024,0.05910390848427073,0.042401167708007864,0.016702740776262867
Classical Statistical ML,Core ML,2024,0.06387035271687322,0.099195798102015,-0.03532544538514178
Computer Vision & 3D Perception,Perception,2024,0.10676835081029552,0.09452919012062404,0.012239160689671486
Federated & Distributed Learning,Systems for ML,2024,0.0076263107721639654,0.020254328119694746,-0.01262801734753078
Games & Mechanism Design,Decision Making,2024,0.008579599618684462,0.011337342311535622,-0.0027577426928511607
Generative Models & Diffusion,Generative AI,2024,0.08007626310772165,0.0461493027576598,0.03392696035006185
Graph Machine Learning,Structured Learning,2024,0.0438512869399428,0.05224384118990524,-0.008392554249962436
Language Models & NLP,Generative AI,2024,0.15252621544327932,0.07502219641574842,0.0775040190275309
Multimodal & Vision-Language,Perception,2024,0.042897998093422304,0.014051826514716946,0.028846171578705358
Optimization & Learning Theory,Core ML,2024,0.10486177311725453,0.14180087699018054,-0.03693910387292601
Probabilistic Modeling,Core ML,2024,0.06768350810295519,0.09152834514938789,-0.0238448370464327
Reinforcement Learning & Bandits,Decision Making,2024,0.08007626310772165,0.10346179846508985,-0.023385535357368203
Representation Learning,Foundation Learning,2024,0.11344137273593899,0.1158760518610165,-0.002434679125077513
"Robustness, Privacy & Safety",Trustworthy AI,2024,0.05052430886558627,0.0761247540941847,-0.02560044522859843
