source,target,source_topic,target_topic,source_period,target_period,weight,transition_type
Generative Models & Diffusion@2010-2014,"Biology, Molecules & Health@2015-2019",Generative Models & Diffusion,"Biology, Molecules & Health",2010-2014,2015-2019,21,cooccurrence
Generative Models & Diffusion@2010-2014,"Causality, Dynamics & Scientific ML@2015-2019",Generative Models & Diffusion,"Causality, Dynamics & Scientific ML",2010-2014,2015-2019,105,cooccurrence
Generative Models & Diffusion@2010-2014,Classical Statistical ML@2015-2019,Generative Models & Diffusion,Classical Statistical ML,2010-2014,2015-2019,381,cooccurrence
Generative Models & Diffusion@2010-2014,Computer Vision & 3D Perception@2015-2019,Generative Models & Diffusion,Computer Vision & 3D Perception,2010-2014,2015-2019,156,cooccurrence
Generative Models & Diffusion@2010-2014,Federated & Distributed Learning@2015-2019,Generative Models & Diffusion,Federated & Distributed Learning,2010-2014,2015-2019,42,cooccurrence
Generative Models & Diffusion@2010-2014,Games & Mechanism Design@2015-2019,Generative Models & Diffusion,Games & Mechanism Design,2010-2014,2015-2019,42,cooccurrence
Generative Models & Diffusion@2010-2014,Graph Machine Learning@2015-2019,Generative Models & Diffusion,Graph Machine Learning,2010-2014,2015-2019,96,cooccurrence
Generative Models & Diffusion@2010-2014,Language Models & NLP@2015-2019,Generative Models & Diffusion,Language Models & NLP,2010-2014,2015-2019,141,cooccurrence
Generative Models & Diffusion@2010-2014,Multimodal & Vision-Language@2015-2019,Generative Models & Diffusion,Multimodal & Vision-Language,2010-2014,2015-2019,27,cooccurrence
Generative Models & Diffusion@2010-2014,Optimization & Learning Theory@2015-2019,Generative Models & Diffusion,Optimization & Learning Theory,2010-2014,2015-2019,486,cooccurrence
Generative Models & Diffusion@2010-2014,Probabilistic Modeling@2015-2019,Generative Models & Diffusion,Probabilistic Modeling,2010-2014,2015-2019,468,cooccurrence
Generative Models & Diffusion@2010-2014,Reinforcement Learning & Bandits@2015-2019,Generative Models & Diffusion,Reinforcement Learning & Bandits,2010-2014,2015-2019,285,cooccurrence
Generative Models & Diffusion@2010-2014,Representation Learning@2015-2019,Generative Models & Diffusion,Representation Learning,2010-2014,2015-2019,267,cooccurrence
Generative Models & Diffusion@2010-2014,"Robustness, Privacy & Safety@2015-2019",Generative Models & Diffusion,"Robustness, Privacy & Safety",2010-2014,2015-2019,186,cooccurrence
Graph Machine Learning@2010-2014,"Biology, Molecules & Health@2015-2019",Graph Machine Learning,"Biology, Molecules & Health",2010-2014,2015-2019,77,cooccurrence
Graph Machine Learning@2010-2014,"Causality, Dynamics & Scientific ML@2015-2019",Graph Machine Learning,"Causality, Dynamics & Scientific ML",2010-2014,2015-2019,385,cooccurrence
Graph Machine Learning@2010-2014,Classical Statistical ML@2015-2019,Graph Machine Learning,Classical Statistical ML,2010-2014,2015-2019,1397,cooccurrence
Graph Machine Learning@2010-2014,Computer Vision & 3D Perception@2015-2019,Graph Machine Learning,Computer Vision & 3D Perception,2010-2014,2015-2019,572,cooccurrence
Graph Machine Learning@2010-2014,Federated & Distributed Learning@2015-2019,Graph Machine Learning,Federated & Distributed Learning,2010-2014,2015-2019,154,cooccurrence
Graph Machine Learning@2010-2014,Games & Mechanism Design@2015-2019,Graph Machine Learning,Games & Mechanism Design,2010-2014,2015-2019,154,cooccurrence
Graph Machine Learning@2010-2014,Generative Models & Diffusion@2015-2019,Graph Machine Learning,Generative Models & Diffusion,2010-2014,2015-2019,517,cooccurrence
Graph Machine Learning@2010-2014,Language Models & NLP@2015-2019,Graph Machine Learning,Language Models & NLP,2010-2014,2015-2019,517,cooccurrence
Graph Machine Learning@2010-2014,Multimodal & Vision-Language@2015-2019,Graph Machine Learning,Multimodal & Vision-Language,2010-2014,2015-2019,99,cooccurrence
Graph Machine Learning@2010-2014,Optimization & Learning Theory@2015-2019,Graph Machine Learning,Optimization & Learning Theory,2010-2014,2015-2019,1782,cooccurrence
