topic,category,year,count,total_papers,share
"Robustness, Privacy & Safety",Trustworthy AI,2022,53,688,0.07703488372093023
"Biology, Molecules & Health",AI for Science,2023,19,829,0.022919179734620022
"Causality, Dynamics & Scientific ML",Scientific ML,2023,35,829,0.04221954161640531
Classical Statistical ML,Core ML,2023,72,829,0.08685162846803378
Computer Vision & 3D Perception,Perception,2023,82,829,0.09891435464414958
Federated & Distributed Learning,Systems for ML,2023,11,829,0.013268998793727383
Games & Mechanism Design,Decision Making,2023,9,829,0.010856453558504222
Generative Models & Diffusion,Generative AI,2023,52,829,0.06272617611580217
Graph Machine Learning,Structured Learning,2023,46,829,0.05548854041013269
Language Models & NLP,Generative AI,2023,70,829,0.08443908323281062
Multimodal & Vision-Language,Perception,2023,22,829,0.026537997587454766
Optimization & Learning Theory,Core ML,2023,113,829,0.13630880579010857
Probabilistic Modeling,Core ML,2023,61,829,0.0735826296743064
Reinforcement Learning & Bandits,Decision Making,2023,86,829,0.1037394451145959
Representation Learning,Foundation Learning,2023,87,829,0.10494571773220748
"Robustness, Privacy & Safety",Trustworthy AI,2023,64,829,0.07720144752714113
"Biology, Molecules & Health",AI for Science,2024,19,1049,0.01811248808388942
"Causality, Dynamics & Scientific ML",Scientific ML,2024,62,1049,0.05910390848427073
Classical Statistical ML,Core ML,2024,67,1049,0.06387035271687322
Computer Vision & 3D Perception,Perception,2024,112,1049,0.10676835081029552
Federated & Distributed Learning,Systems for ML,2024,8,1049,0.0076263107721639654
Games & Mechanism Design,Decision Making,2024,9,1049,0.008579599618684462
Generative Models & Diffusion,Generative AI,2024,84,1049,0.08007626310772165
Graph Machine Learning,Structured Learning,2024,46,1049,0.0438512869399428
Language Models & NLP,Generative AI,2024,160,1049,0.15252621544327932
Multimodal & Vision-Language,Perception,2024,45,1049,0.042897998093422304
Optimization & Learning Theory,Core ML,2024,110,1049,0.10486177311725453
Probabilistic Modeling,Core ML,2024,71,1049,0.06768350810295519
Reinforcement Learning & Bandits,Decision Making,2024,84,1049,0.08007626310772165
Representation Learning,Foundation Learning,2024,119,1049,0.11344137273593899
"Robustness, Privacy & Safety",Trustworthy AI,2024,53,1049,0.05052430886558627
