topic,category,year,share,prev_avg_share,burst_score
Text-to-SQL / NLIDB,AI for Data Systems,2019,0.004464285714285714,,
Transactions,Systems,2019,0.03125,0.020684394009964573,0.010565605990035427
Vector Search,AI for Data Systems,2019,0.013392857142857142,0.009281238091205487,0.0041116190516516556
Cloud DB,Systems,2020,0.021806853582554516,0.02093289085545723,0.0008739627270972876
Crowdsourcing,Applications,2020,0.003115264797507788,0.023148440792246105,-0.020033175994738316
Data Analytics,Applications,2020,0.17133956386292834,0.1834355246523388,-0.01209596078941047
Data Integration,Data Processing,2020,0.04672897196261682,0.033743678887484196,0.012985293075132624
Distributed DB,Systems,2020,0.0778816199376947,0.08961757269279393,-0.011735952755099227
Graph Data,Data Models,2020,0.1277258566978193,0.1296971133586178,-0.001971256660798504
Indexing,Storage & Access,2020,0.07165109034267912,0.051852612726506535,0.019798477616172587
Information Retrieval,Applications,2020,0.06542056074766354,0.07462389380530975,-0.009203333057646201
ML for DB,AI for Data Systems,2020,0.14330218068535824,0.10096028234302572,0.042341898342332526
Privacy / Security,Trust,2020,0.028037383177570093,0.021303202697008004,0.0067341804805620895
Query Optimization,Query Processing,2020,0.11838006230529595,0.09929993678887483,0.019080125516421118
RDF / Semantic Web,Data Models,2020,0.009345794392523364,0.027586388537715972,-0.018240594145192607
Spatial / Temporal,Specialized Data,2020,0.037383177570093455,0.05730931310577329,-0.01992613553567983
Streaming,Data Processing,2020,0.04361370716510903,0.04665402444163506,-0.003040317276526025
Text-to-SQL / NLIDB,AI for Data Systems,2020,0.003115264797507788,,
Transactions,Systems,2020,0.01557632398753894,0.02631637168141593,-0.010740047693876988
Vector Search,AI for Data Systems,2020,0.01557632398753894,0.010555731142014328,0.005020592845524613
Cloud DB,Systems,2021,0.023178807947019868,0.0265351753829754,-0.003356367435955531
Crowdsourcing,Applications,2021,0.0033112582781456954,0.01585352905808203,-0.012542270779936335
Data Analytics,Applications,2021,0.1291390728476821,0.1888820459399816,-0.05974297309229948
Data Integration,Data Processing,2021,0.029801324503311258,0.03932000287502314,-0.00951867837171188
Distributed DB,Systems,2021,0.08609271523178808,0.08224477933869216,0.0038479358930959134
Graph Data,Data Models,2021,0.1291390728476821,0.12560573225789087,0.0035333405897912395
Indexing,Storage & Access,2021,0.0695364238410596,0.06240297617406624,0.0071334476669933575
Information Retrieval,Applications,2021,0.06622516556291391,0.06476408072119759,0.001461084841716323
ML for DB,AI for Data Systems,2021,0.20860927152317882,0.12039434257147845,0.08821492895170037
Privacy / Security,Trust,2021,0.016556291390728478,0.02564899708953137,-0.009092705698802894
Query Optimization,Query Processing,2021,0.09271523178807947,0.09875995755730682,-0.006044725769227349
RDF / Semantic Web,Data Models,2021,0.023178807947019868,0.022368320001890426,0.0008104879451294421
Spatial / Temporal,Specialized Data,2021,0.039735099337748346,0.04643703896247111,-0.006701939624722764
Streaming,Data Processing,2021,0.046357615894039736,0.04119192683000474,0.005165689064034994
Text-to-SQL / NLIDB,AI for Data Systems,2021,0.006622516556291391,,
Transactions,Systems,2021,0.023178807947019868,0.021508479677262243,0.0016703282697576247
Vector Search,AI for Data Systems,2021,0.006622516556291391,0.014081172471193976,-0.007458655914902585
Cloud DB,Systems,2022,0.03745318352059925,0.025411887176524792,0.01204129634407446
Crowdsourcing,Applications,2022,0.00749063670411985,0.009582650549027351,-0.002092013844907501
Data Analytics,Applications,2022,0.16104868913857678,0.15670716461782253,0.0043415245207542585
Data Integration,Data Processing,2022,0.0149812734082397,0.04187914644102364,-0.026897873032783938
Distributed DB,Systems,2022,0.04119850187265917,0.08144382600887522,-0.040245324136216044
